ETV4	MMP2
FLI1	MMP2
SP1	MMP2
SPI1	MMP2
TFAP2A	MMP2
TP53	MMP2
E2F4	MYCN
SP3	MYCN
CEBPA	PCK2
NFIC	PCK2
ATF1	TH
CREB1	TH
HOXA5	TH
TFAP2A	TH
HIF1A	VHL
PAX1	VHL
TFAP2A	VHL
